vehicle_type,service_type,vehicle_age,kilometers_driven,fuel_type,engine_type,previous_services,actual_cost
Car,Repair,5,53753,Petrol,Manual,8,9240
SUV,General,6,106143,Diesel,Automatic,10,11820
Scooty,General,6,30451,Petrol,Automatic,11,520
Scooty,General,9,62859,Petrol,Automatic,11,840
Car,General,3,43182,Diesel,Automatic,5,6060
Scooty,Repair,3,15486,Petrol,Automatic,4,1560
SUV,Major,5,60481,Diesel,Manual,6,18380
Car,Major,3,33032,Petrol,Manual,5,10870
Car,Major,4,38874,Diesel,Manual,6,11560
SUV,Repair,5,53851,Hybrid,Manual,9,20480
Car,General,11,127538,Diesel,Automatic,13,7930
SUV,Major,5,79598,EV,Automatic,6,16020
Car,Repair,3,29563,Petrol,Manual,5,8820
SUV,Repair,8,130351,Diesel,Automatic,10,33840
Scooty,General,3,13682,Petrol,Automatic,4,740
Electric Scooter,General,4,31682,EV,Automatic,6,660
SUV,Repair,3,57265,Diesel,Automatic,5,27480
SUV,Major,7,134374,Petrol,Manual,9,15660
Scooty,General,7,30380,Petrol,Automatic,8,920
SUV,Major,4,71644,Diesel,Manual,7,22990
Bike,General,10,58835,Petrol,Manual,18,1060
Bike,General,3,23147,Petrol,Automatic,4,700
Car,Major,10,90687,Petrol,Automatic,18,18390
SUV,Major,2,26184,EV,Automatic,2,10930
Car,General,2,20679,Diesel,Manual,3,5760
Bike,General,6,47636,Petrol,Manual,11,570
SUV,General,11,143194,Diesel,Manual,21,9970
Scooty,Major,0,500,Petrol,Automatic,0,1560
Electric Bike,Repair,2,18941,EV,Automatic,2,1230
SUV,General,9,146013,Diesel,Automatic,17,10070
SUV,General,5,52703,Diesel,Automatic,9,9990
Electric Bike,General,2,10793,EV,Automatic,2,540
Scooty,Major,7,42736,Petrol,Automatic,10,1520
Car,General,7,89960,Diesel,Automatic,10,5620
Scooty,General,6,28548,Petrol,Automatic,7,500
Electric Scooter,General,0,500,EV,Automatic,0,660
Bike,General,7,50736,Petrol,Manual,11,1000
Electric Scooter,General,1,3517,EV,Automatic,1,510
Car,General,2,34724,EV,Automatic,3,3280
Car,Major,13,139925,Diesel,Manual,23,23560
Electric Scooter,General,0,500,EV,Automatic,0,450
Scooty,General,2,15085,Petrol,Automatic,2,670
Scooty,Major,3,16646,Petrol,Automatic,5,1450
SUV,Major,6,115594,Diesel,Manual,8,21400
SUV,Major,3,32484,Petrol,Automatic,5,14460
Electric Bike,General,1,7548,EV,Automatic,1,730
Scooty,General,3,14661,Petrol,Automatic,4,560
Bike,General,3,20996,Petrol,Manual,3,850
Scooty,Major,13,64491,Petrol,Automatic,20,2320
Car,Major,6,67634,Petrol,Automatic,8,12780
SUV,General,4,58527,Diesel,Manual,5,8850
Electric Bike,General,1,6862,EV,Automatic,1,430
Electric Bike,General,2,15640,EV,Automatic,2,590
Bike,Major,5,47146,Petrol,Manual,7,2380
Car,Major,4,54197,Diesel,Automatic,7,16950
Bike,Major,6,48251,Petrol,Manual,8,2320
Scooty,Major,2,10584,Petrol,Automatic,3,1900
SUV,Major,7,141825,Petrol,Automatic,8,23120
Bike,Major,4,32767,Petrol,Manual,5,2950
Car,Major,8,104268,Hybrid,Manual,10,13860
Electric Bike,Repair,2,16941,EV,Automatic,3,2130
SUV,General,5,54368,Diesel,Automatic,8,9930
Bike,General,8,62120,Petrol,Manual,14,660
Scooty,General,6,34863,Petrol,Automatic,10,690
Bike,General,6,37245,Petrol,Manual,8,1240
Car,General,10,152299,Petrol,Manual,17,4930
SUV,General,8,134510,Petrol,Manual,15,7310
Car,Major,3,32204,Diesel,Automatic,5,14330
SUV,Major,6,93272,Diesel,Automatic,7,29200
Car,General,12,138052,Petrol,Manual,23,3850
SUV,Major,3,57003,Petrol,Automatic,4,15650
Bike,General,4,37799,Petrol,Automatic,6,950
Electric Scooter,General,1,5435,EV,Automatic,1,620
SUV,General,3,36083,Diesel,Manual,5,8220
Electric Scooter,Major,3,21504,EV,Automatic,4,1140
Car,General,3,32378,Diesel,Manual,4,4740
Bike,Major,2,19599,Petrol,Automatic,3,1950
SUV,Major,6,65142,Diesel,Automatic,8,25000
Scooty,General,3,18117,Petrol,Automatic,4,460
Car,Repair,6,79485,EV,Automatic,8,12560
Car,Major,4,34371,Hybrid,Manual,6,9850
Car,General,7,96462,Petrol,Manual,9,5040
Car,General,13,152646,EV,Automatic,19,5380
SUV,General,4,53955,Hybrid,Manual,5,5290
SUV,General,10,162898,Diesel,Manual,19,11290
SUV,General,5,95345,Petrol,Manual,6,8310
SUV,General,4,64832,Diesel,Manual,7,10630
Bike,Repair,5,37358,Petrol,Manual,8,3740
Bike,General,2,9565,Petrol,Manual,3,1090
Bike,General,1,3505,Petrol,Manual,1,530
Scooty,General,4,27891,Petrol,Automatic,5,930
SUV,Major,4,79384,Diesel,Automatic,5,26020
Car,General,5,48442,Diesel,Manual,7,3960
Car,Major,10,96482,Petrol,Manual,14,15360
Car,General,3,42906,Diesel,Automatic,5,7200
SUV,Major,2,31998,Petrol,Manual,3,13020
Scooty,General,11,86873,Petrol,Automatic,13,840
SUV,General,4,52698,Diesel,Automatic,7,8910
Bike,Major,10,84963,Petrol,Manual,18,3780
Car,General,8,111149,Diesel,Manual,14,4600
Bike,General,5,29719,Petrol,Manual,6,1190
Car,General,3,33503,Petrol,Automatic,5,4290
Car,General,10,157850,Petrol,Automatic,14,4890
SUV,General,5,66001,Petrol,Manual,8,5100
SUV,General,4,47020,Diesel,Manual,7,7120
SUV,General,4,61182,Diesel,Manual,7,11020
Electric Bike,General,1,7611,EV,Automatic,1,800
SUV,General,7,120198,Diesel,Manual,11,10930
Car,Major,1,13135,Diesel,Automatic,1,13090
Bike,General,4,36006,Petrol,Manual,6,710
Car,General,12,128366,Petrol,Manual,23,4490
Electric Scooter,Major,1,7408,EV,Automatic,1,2010
Bike,General,7,55840,Petrol,Manual,11,1210
SUV,General,0,3480,Diesel,Manual,0,8000
Electric Scooter,General,4,26868,EV,Automatic,6,500
Bike,General,9,80543,Petrol,Manual,15,1390
Bike,General,9,89006,Petrol,Manual,12,750
Scooty,General,7,44653,Petrol,Automatic,11,690
Car,Major,7,96291,Petrol,Manual,11,10960
Car,Major,13,158181,Diesel,Manual,18,19090
SUV,General,3,45058,Petrol,Automatic,5,7400
Car,General,3,21651,Diesel,Manual,3,5590
Scooty,Major,2,13407,Petrol,Automatic,3,1170
SUV,General,5,56276,Petrol,Automatic,7,6730
Scooty,General,7,31864,Petrol,Automatic,12,860
Electric Scooter,General,2,11625,EV,Automatic,2,440
Car,Major,6,92285,Petrol,Automatic,8,17040
Electric Scooter,Major,2,14482,EV,Automatic,3,1610
Car,General,6,53154,Diesel,Manual,8,6420
Car,Repair,13,176601,Petrol,Manual,22,25380
Bike,General,3,19590,Petrol,Automatic,4,950
Bike,Major,8,42292,Petrol,Manual,10,3420
SUV,General,8,163392,Diesel,Manual,15,8080
Scooty,Repair,8,60193,Petrol,Automatic,10,3500
Car,Repair,2,29631,EV,Automatic,3,8310
SUV,General,3,48134,Diesel,Manual,4,8660
SUV,General,4,49764,Diesel,Automatic,6,8720
Car,General,5,64018,Petrol,Manual,9,3340
Scooty,Repair,4,22471,Petrol,Automatic,7,2090
SUV,Repair,3,51182,EV,Automatic,3,16290
SUV,Major,7,138803,Diesel,Automatic,11,33220
Car,Repair,4,40913,Petrol,Manual,7,11780
SUV,General,9,116482,Petrol,Automatic,16,8420
Car,Major,6,69409,Petrol,Manual,9,8570
Bike,General,9,63016,Petrol,Manual,17,1030
Scooty,Repair,9,52273,Petrol,Automatic,12,2890
Car,General,15,163204,Petrol,Manual,27,5900
SUV,General,13,206172,Diesel,Manual,16,8450
SUV,Repair,6,74829,Petrol,Automatic,10,28160
SUV,General,5,55759,Hybrid,Automatic,6,7140
Bike,General,9,52111,Petrol,Manual,13,1240
Car,General,2,18224,Diesel,Automatic,3,6580
SUV,Repair,9,148642,Diesel,Manual,17,30320
Bike,Repair,5,52174,Petrol,Automatic,9,2390
Electric Scooter,Major,2,11491,EV,Automatic,3,980
Car,Major,3,28923,Petrol,Manual,5,12330
Car,General,3,40688,Petrol,Manual,5,3200
Scooty,Major,9,54855,Petrol,Automatic,15,2420
Electric Bike,Major,2,13645,EV,Automatic,2,2090
Bike,Major,2,14038,Petrol,Automatic,3,2070
SUV,Major,1,16514,Diesel,Automatic,1,19770
Car,General,12,145952,Petrol,Automatic,20,5780
SUV,General,11,163186,Diesel,Manual,14,10810
Bike,General,6,51178,Petrol,Manual,11,1010
Bike,Major,6,42188,Petrol,Manual,11,2660
Electric Scooter,Major,0,1549,EV,Automatic,0,1190
Car,General,3,44489,Diesel,Manual,5,5310
Electric Bike,General,1,10327,EV,Automatic,1,450
Car,General,7,86760,Petrol,Automatic,11,4750
SUV,Major,5,65143,EV,Automatic,6,16290
Electric Scooter,Repair,2,13391,EV,Automatic,2,1430
SUV,General,14,162048,Diesel,Automatic,27,12650
SUV,General,11,175889,Diesel,Manual,20,8900
Electric Bike,Repair,3,17181,EV,Automatic,4,2050
Scooty,General,3,21737,Petrol,Automatic,4,870
SUV,General,5,93901,Petrol,Automatic,9,8300
Car,Major,6,68497,Petrol,Automatic,10,13350
SUV,Repair,7,139120,Diesel,Manual,8,44670
Bike,Repair,5,45721,Petrol,Manual,8,3710
Car,General,2,28093,Petrol,Manual,2,3400
Bike,Major,7,47854,Petrol,Manual,9,2860
Electric Scooter,General,1,8943,EV,Automatic,1,580
SUV,General,2,31428,Petrol,Automatic,3,5580
SUV,Major,6,73073,Diesel,Manual,9,18640
Scooty,Major,9,68459,Petrol,Automatic,15,2110
Electric Scooter,Repair,4,32295,EV,Automatic,7,1740
Bike,Major,3,18015,Petrol,Manual,5,2330
Car,General,4,48498,Petrol,Manual,4,5700
Car,Repair,6,97433,Petrol,Manual,10,15900
Electric Scooter,Major,1,6915,EV,Automatic,1,1010
SUV,Repair,5,90581,Diesel,Manual,9,27390
SUV,Major,6,86295,Hybrid,Manual,9,17180
Bike,General,5,27933,Petrol,Manual,8,920
Car,General,2,26410,Hybrid,Manual,3,4190
Car,Repair,5,69501,Diesel,Manual,8,16860
Bike,General,12,93168,Petrol,Automatic,18,1110
Car,General,6,96182,Petrol,Manual,10,4950
Car,General,13,130913,Petrol,Automatic,24,7850
Electric Bike,General,1,6982,EV,Automatic,1,810
SUV,General,10,125553,Petrol,Manual,19,9200
Electric Bike,General,2,12143,EV,Automatic,3,730
Scooty,General,3,21907,Petrol,Automatic,5,610
Car,Major,12,150645,Hybrid,Manual,21,20490
Electric Bike,General,1,5921,EV,Automatic,1,480
Car,General,5,80139,Diesel,Automatic,7,6030
Car,General,2,15009,Hybrid,Manual,3,5780
SUV,General,3,44015,Diesel,Automatic,5,9990
Car,Repair,4,52882,Hybrid,Manual,5,15800
Electric Bike,General,1,4505,EV,Automatic,1,570
Electric Scooter,General,3,20150,EV,Automatic,3,500
Electric Scooter,General,3,21793,EV,Automatic,4,420
Car,General,5,65545,Petrol,Manual,8,4330
SUV,General,6,105855,Petrol,Manual,9,7680
Electric Scooter,General,3,14243,EV,Automatic,5,520
Car,Repair,11,94894,EV,Automatic,20,15000
SUV,General,3,55489,Hybrid,Manual,5,8250
Car,Repair,4,47651,EV,Automatic,7,7490
Bike,General,7,42236,Petrol,Manual,10,690
Scooty,General,5,31849,Petrol,Automatic,6,580
Car,Major,3,34257,Hybrid,Automatic,4,13530
Bike,General,11,104622,Petrol,Manual,20,1270
Car,General,0,2820,Petrol,Manual,0,5040
Car,General,5,71621,EV,Automatic,9,3380
Car,Major,4,30548,Diesel,Manual,5,13720
Car,General,13,128498,Hybrid,Automatic,16,4940
Bike,General,3,29416,Petrol,Automatic,4,1060
Electric Scooter,General,2,15217,EV,Automatic,3,620
Bike,Major,3,27871,Petrol,Manual,4,2240
Bike,Major,7,67440,Petrol,Manual,10,1760
Car,Repair,6,45712,Hybrid,Automatic,11,14190
Car,General,13,124028,Diesel,Automatic,19,7970
Car,General,11,165613,Petrol,Automatic,21,7170
Car,Major,12,133489,EV,Automatic,14,14570
Car,Major,4,48891,Petrol,Manual,4,12890
Car,General,14,165762,Petrol,Manual,24,5720
Car,General,1,13363,Diesel,Automatic,1,5080
Car,Repair,9,128231,Petrol,Manual,17,19640
Bike,General,0,1226,Petrol,Manual,0,930
SUV,Major,5,55776,Petrol,Manual,9,15470
SUV,Major,4,48216,Hybrid,Manual,6,22030
Bike,Major,6,56211,Petrol,Manual,11,2030
Bike,General,4,33948,Petrol,Manual,6,1130
Scooty,General,6,41965,Petrol,Automatic,9,870
Bike,Major,6,47476,Petrol,Manual,8,3060
Scooty,Major,2,15548,Petrol,Automatic,2,1130
Scooty,General,11,73320,Petrol,Automatic,13,980
SUV,Repair,8,159085,Diesel,Manual,15,41790
Scooty,Repair,4,23255,Petrol,Automatic,7,2320
Scooty,Repair,5,29515,Petrol,Automatic,9,2170
Car,Major,2,20963,Diesel,Automatic,3,13360
Bike,General,12,71592,Petrol,Automatic,21,1200
Car,Repair,0,800,Petrol,Automatic,0,10230
Bike,Major,6,44996,Petrol,Manual,10,2770
Bike,Major,10,77032,Petrol,Manual,17,2380
Car,Major,5,61425,Hybrid,Manual,6,14450
SUV,General,9,133191,EV,Automatic,11,5230
SUV,General,3,55410,Diesel,Manual,5,7640
Electric Scooter,General,2,12830,EV,Automatic,3,450
SUV,General,13,203359,Diesel,Automatic,17,11280
Car,General,5,59327,Petrol,Automatic,8,5230
SUV,General,6,85410,Diesel,Manual,7,8250
SUV,General,3,48996,Diesel,Manual,3,6900
Electric Bike,Repair,2,14205,EV,Automatic,3,1190
Car,General,8,124316,Petrol,Automatic,12,5430
Electric Bike,General,0,650,EV,Automatic,0,600
SUV,General,8,88959,Diesel,Manual,14,9200
Scooty,Repair,4,25777,Petrol,Automatic,5,1490
Car,Major,7,57363,Diesel,Manual,9,15150
Car,General,10,81656,Diesel,Automatic,14,5620
SUV,General,8,164304,Petrol,Manual,12,8850
Bike,Major,13,71142,Petrol,Manual,17,2140
Scooty,Major,5,39181,Petrol,Automatic,9,1370
SUV,Major,8,152674,Diesel,Manual,14,26640
Car,Repair,4,62469,Petrol,Manual,5,9370
Car,Major,1,7512,Diesel,Automatic,1,14080
SUV,General,10,110338,Petrol,Manual,16,6410
SUV,Major,4,67289,Hybrid,Manual,6,23230
Scooty,General,10,44415,Petrol,Automatic,13,860
Car,Repair,10,123850,Hybrid,Automatic,19,26280
Scooty,Repair,12,51835,Petrol,Automatic,20,4210
SUV,General,5,59052,Diesel,Automatic,9,10940
Bike,Major,10,100949,Petrol,Automatic,18,3230
Scooty,Major,8,59884,Petrol,Automatic,13,2410
Bike,Repair,6,45455,Petrol,Manual,11,2080
Car,Major,9,113893,Petrol,Manual,12,13520
Electric Bike,Repair,2,12520,EV,Automatic,2,1810
Car,General,6,92986,Diesel,Manual,7,6120
SUV,Major,1,10342,Diesel,Automatic,1,17300
Car,Major,9,131288,Diesel,Automatic,13,16300
Car,General,3,37727,Diesel,Manual,5,6770
Scooty,Major,4,28974,Petrol,Automatic,5,2080
Scooty,General,4,27573,Petrol,Automatic,7,490
Car,General,4,55326,Diesel,Automatic,5,5030
Bike,General,8,41528,Petrol,Manual,13,1100
SUV,General,14,147211,Diesel,Automatic,27,9770
Electric Scooter,Major,2,10569,EV,Automatic,2,1880
Scooty,Repair,2,12743,Petrol,Automatic,2,1930
Car,General,4,55488,Petrol,Manual,5,4070
SUV,General,7,91358,Petrol,Automatic,8,8390
Electric Scooter,General,0,500,EV,Automatic,0,560
Bike,General,2,17161,Petrol,Manual,3,790
Bike,General,2,18387,Petrol,Automatic,3,610
SUV,General,4,64729,Diesel,Automatic,5,9200
Car,General,5,40746,Petrol,Manual,7,3180
Electric Scooter,General,2,12923,EV,Automatic,2,570
Car,Repair,4,36771,Diesel,Automatic,5,16260
Bike,Major,8,56134,Petrol,Manual,11,3680
SUV,General,5,98529,Petrol,Manual,7,6820
Car,General,5,68238,Diesel,Manual,6,5810
Car,Major,1,11424,Petrol,Manual,1,9400
Scooty,Repair,2,17441,Petrol,Automatic,3,1080
Bike,General,5,46439,Petrol,Manual,6,940
Car,Repair,8,86497,Hybrid,Manual,14,14580
Car,General,6,55500,Petrol,Manual,11,5260
Scooty,Repair,4,26490,Petrol,Automatic,5,2570
Car,General,7,90753,Petrol,Manual,10,5790
Electric Scooter,General,2,12586,EV,Automatic,3,710
Scooty,General,1,6024,Petrol,Automatic,1,540
SUV,Repair,2,21547,EV,Automatic,2,12940
Scooty,Major,7,49105,Petrol,Automatic,10,1800
Scooty,General,8,35672,Petrol,Automatic,10,650
SUV,General,4,62328,Diesel,Automatic,6,9180
SUV,Major,8,152373,Diesel,Manual,14,26650
SUV,Major,4,54919,Hybrid,Manual,7,25140
SUV,Major,11,172540,Hybrid,Automatic,17,27220
Car,General,6,66611,Diesel,Automatic,8,5260
Scooty,General,5,23448,Petrol,Automatic,8,940
SUV,General,6,69693,EV,Automatic,8,6960
Electric Scooter,General,2,12693,EV,Automatic,3,540
SUV,Repair,3,46134,Diesel,Manual,3,27430
Car,Major,9,117158,Diesel,Manual,11,19590
Car,General,5,70114,Diesel,Automatic,7,7080
Car,General,9,130652,Petrol,Manual,12,5300
Car,General,7,93900,Petrol,Automatic,9,5290
Bike,General,6,42645,Petrol,Manual,8,1180
Car,Repair,2,28037,Diesel,Automatic,3,11680
Bike,Repair,7,69129,Petrol,Manual,9,3510
Car,General,5,51080,Hybrid,Manual,7,4860
SUV,Repair,12,141916,Diesel,Manual,23,40280
Electric Scooter,General,1,5374,EV,Automatic,1,480
Bike,General,9,55024,Petrol,Manual,12,1110
SUV,General,2,18157,Hybrid,Automatic,3,8460
SUV,Repair,2,33123,Diesel,Manual,2,19500
SUV,Major,9,128579,Diesel,Automatic,14,40590
Electric Scooter,General,4,23904,EV,Automatic,6,560
Car,General,8,90460,Diesel,Automatic,13,7390
Bike,Major,5,26121,Petrol,Manual,8,2690
Car,General,8,70388,Petrol,Automatic,13,4910
Electric Scooter,General,2,15527,EV,Automatic,2,410
Car,General,14,185731,EV,Automatic,24,3900
SUV,Major,8,155359,Diesel,Automatic,12,36320
Electric Bike,Major,2,11512,EV,Automatic,2,1010
Car,General,6,79862,Petrol,Manual,10,4380
Car,General,4,51221,Petrol,Automatic,5,4380
Car,General,5,48038,Diesel,Manual,7,4070
Car,Major,8,73238,EV,Automatic,10,9550
Car,Major,3,33525,Petrol,Automatic,3,12440
Car,General,10,104185,Diesel,Manual,15,5550
Scooty,Major,3,22906,Petrol,Automatic,3,1440
Car,General,10,151557,EV,Automatic,18,3390
SUV,General,5,100051,EV,Automatic,8,4610
Scooty,Major,3,21171,Petrol,Automatic,4,1950
Scooty,General,2,13285,Petrol,Automatic,2,770
Scooty,General,7,44242,Petrol,Automatic,11,680
Car,Repair,9,112924,Petrol,Manual,12,13230
Bike,Repair,7,67864,Petrol,Manual,10,3540
SUV,General,1,16330,Diesel,Manual,1,5880
SUV,Major,3,34048,Diesel,Automatic,5,29560
Bike,General,7,60891,Petrol,Manual,12,960
SUV,General,2,18656,Petrol,Manual,3,5930
Scooty,Repair,5,20895,Petrol,Automatic,6,2290
Car,General,14,114598,Petrol,Manual,21,4050
Bike,Major,3,30225,Petrol,Manual,4,2590
Electric Scooter,General,2,12962,EV,Automatic,2,440
Scooty,Major,9,64968,Petrol,Automatic,12,2890
SUV,General,11,172913,Diesel,Manual,20,7160
Car,General,13,196655,Diesel,Automatic,20,7200
SUV,Major,3,48120,Petrol,Automatic,5,16750
SUV,Repair,12,149292,Diesel,Manual,15,42390
Car,Repair,9,140342,Petrol,Automatic,14,25230
SUV,General,7,96145,Petrol,Automatic,11,7750
Car,Major,3,40625,Petrol,Manual,5,10380
Car,Major,4,61514,Petrol,Manual,4,12280
Car,General,5,76826,Hybrid,Manual,8,4460
Scooty,General,7,47602,Petrol,Automatic,10,890
Car,Repair,1,18586,Diesel,Automatic,1,12300
Bike,General,8,70111,Petrol,Manual,15,630
Car,General,10,97285,Petrol,Manual,17,4750
SUV,General,9,136178,Diesel,Automatic,17,11220
Car,General,11,150152,Hybrid,Automatic,14,7560
Car,General,7,80087,Diesel,Manual,9,6220
Car,General,11,124672,Diesel,Automatic,16,7990
Electric Scooter,General,2,15673,EV,Automatic,2,770
Car,General,7,72067,Diesel,Manual,11,7160
SUV,Major,11,185579,Petrol,Automatic,18,23460
Electric Bike,Major,3,19626,EV,Automatic,5,1090
Car,General,1,9797,Diesel,Manual,1,4110
Bike,Major,7,35845,Petrol,Manual,13,3570
Bike,General,2,15950,Petrol,Automatic,2,740
SUV,General,9,168633,Diesel,Automatic,16,12600
Bike,Major,3,23111,Petrol,Manual,4,2470
SUV,Repair,5,53542,Petrol,Manual,9,25540
Electric Bike,General,2,17506,EV,Automatic,2,820
Bike,General,5,49045,Petrol,Manual,7,1000
SUV,Repair,5,85210,Diesel,Manual,7,23410
Car,General,10,78720,Petrol,Automatic,13,6490
SUV,General,4,78892,Diesel,Manual,5,8800
Bike,Major,5,25508,Petrol,Manual,6,3330
Car,General,5,72060,Petrol,Automatic,7,4190
SUV,General,5,82211,Diesel,Automatic,7,8970
SUV,General,2,31839,Petrol,Manual,3,7830
SUV,Major,6,106044,EV,Automatic,11,17990
SUV,General,6,92456,Petrol,Manual,7,7950
Car,Major,15,216664,Diesel,Manual,20,14890
Car,General,2,20142,Petrol,Manual,3,3790
Car,Major,7,107929,Diesel,Automatic,9,18560
Electric Scooter,General,2,16464,EV,Automatic,2,700
Scooty,General,5,28389,Petrol,Automatic,8,640
Scooty,General,2,11041,Petrol,Automatic,3,790
SUV,Major,7,127036,Diesel,Manual,11,30480
Car,General,2,20313,Petrol,Automatic,3,3900
Bike,General,1,7506,Petrol,Automatic,1,930
Car,General,8,83268,Petrol,Automatic,9,5250
Electric Scooter,General,2,10164,EV,Automatic,2,400
SUV,Major,1,17292,Diesel,Manual,1,23610
Car,General,5,72443,Diesel,Manual,6,4560
Car,General,9,81729,Diesel,Automatic,11,5380
SUV,Major,3,62386,Petrol,Manual,4,15920
Electric Scooter,Major,2,10652,EV,Automatic,2,1210
SUV,Major,9,102596,Petrol,Manual,15,23170
Car,General,11,129902,Hybrid,Manual,20,4930
SUV,Major,6,68779,Petrol,Manual,11,23660
Scooty,Major,5,39884,Petrol,Automatic,6,2080
Car,Major,4,42347,Petrol,Manual,7,10550
SUV,General,3,33843,Petrol,Manual,5,7070
Car,General,9,117040,Petrol,Automatic,14,4960
SUV,General,3,54956,EV,Automatic,5,5490
Scooty,Major,2,12349,Petrol,Automatic,3,1530
Electric Scooter,General,4,30988,EV,Automatic,7,600
Scooty,Repair,4,21876,Petrol,Automatic,7,2360
Car,General,4,36063,Diesel,Manual,7,6710
Scooty,Major,3,16276,Petrol,Automatic,4,1150
Electric Scooter,General,1,9363,EV,Automatic,1,530
Electric Bike,General,2,15498,EV,Automatic,2,620
Bike,General,5,49238,Petrol,Manual,7,930
SUV,Repair,6,104922,EV,Automatic,10,17490
Bike,Major,9,60863,Petrol,Manual,12,3310
SUV,Major,4,50229,Diesel,Manual,5,22340
Car,General,9,122226,Diesel,Manual,17,5740
Car,Repair,14,208705,Hybrid,Manual,25,25310
SUV,General,5,79777,Hybrid,Manual,7,7200
Scooty,Major,9,57257,Petrol,Automatic,16,1550
SUV,Major,6,92644,Diesel,Manual,11,26790
Car,Major,4,40358,Petrol,Automatic,7,12340
Car,General,3,32267,Diesel,Manual,5,4920
Bike,Repair,4,39993,Petrol,Manual,5,3000
Car,Major,13,158722,Petrol,Automatic,22,20700
Scooty,General,13,98190,Petrol,Automatic,16,570
Bike,Repair,5,38360,Petrol,Automatic,6,2330
Car,Major,11,158940,Petrol,Automatic,15,15230
Car,General,2,29174,Diesel,Automatic,2,5650
Bike,General,8,49422,Petrol,Manual,11,640
Car,Repair,7,107737,Petrol,Manual,9,12390
Car,General,9,142227,Petrol,Manual,17,5420
Scooty,General,11,78226,Petrol,Automatic,14,800
Bike,General,0,1351,Petrol,Manual,0,770
SUV,General,2,29545,Diesel,Automatic,3,7510
Car,Major,6,77459,Petrol,Automatic,11,14540
Car,Repair,6,56325,Diesel,Manual,9,13250
Electric Bike,General,2,15756,EV,Automatic,3,760
SUV,Major,2,30890,Hybrid,Automatic,2,22510
Car,General,10,98651,Diesel,Manual,16,7030
Bike,General,8,60990,Petrol,Manual,10,1220
Electric Scooter,Major,2,15497,EV,Automatic,3,1750
Bike,General,6,35783,Petrol,Manual,11,850
Car,General,6,57747,Petrol,Manual,10,5310
Bike,General,6,33188,Petrol,Manual,7,930
Electric Scooter,Major,3,19534,EV,Automatic,4,1470
Car,General,4,66165,EV,Automatic,7,4110
Bike,General,9,80417,Petrol,Manual,12,830
Bike,General,3,31717,Petrol,Automatic,5,760
Car,General,9,118949,Diesel,Manual,10,4910
Car,General,2,22382,Diesel,Automatic,2,6090
Car,Repair,9,124008,Hybrid,Manual,14,21800
Bike,Repair,7,54346,Petrol,Manual,10,3290
SUV,General,8,99835,Petrol,Automatic,9,6630
SUV,Repair,6,72014,Diesel,Automatic,9,27960
Car,General,10,156890,Petrol,Manual,17,4280
Scooty,General,2,15162,Petrol,Automatic,3,790
Car,General,5,55378,Petrol,Manual,6,4070
Bike,Major,9,80247,Petrol,Manual,14,3850
Bike,General,5,42833,Petrol,Manual,8,660
Car,General,11,155170,Petrol,Manual,18,3780
Car,General,5,59711,Diesel,Automatic,7,4800
SUV,Major,3,41915,Diesel,Automatic,3,22950
Scooty,General,8,59557,Petrol,Automatic,9,770
SUV,General,10,204827,Petrol,Automatic,18,8530
Car,General,2,27447,Petrol,Automatic,3,4680
SUV,Major,5,68754,Diesel,Manual,7,20770
Car,General,2,30646,Petrol,Automatic,2,4190
Bike,General,4,30004,Petrol,Manual,5,1100
Scooty,General,8,63120,Petrol,Automatic,12,490
SUV,General,4,74774,Diesel,Manual,6,9580
SUV,Repair,3,50872,Hybrid,Manual,4,16710
SUV,Repair,6,81440,EV,Automatic,7,17540
Car,General,7,105869,Petrol,Automatic,11,4940
SUV,General,3,58462,Diesel,Automatic,5,9640
SUV,Major,9,94708,EV,Automatic,13,20220
SUV,General,2,31101,Diesel,Automatic,3,7630
Electric Scooter,Major,2,15819,EV,Automatic,3,1590
Scooty,Major,9,65922,Petrol,Automatic,16,1860
Bike,General,5,46278,Petrol,Manual,6,650
Car,Repair,5,59872,Diesel,Automatic,8,17220
Scooty,Major,11,56665,Petrol,Automatic,19,2600
Electric Scooter,General,2,15094,EV,Automatic,3,570
Car,General,9,116538,Diesel,Automatic,17,6180
Car,General,3,36864,Diesel,Manual,4,4390
Scooty,Major,4,24473,Petrol,Automatic,7,2000
Car,Major,6,88478,Petrol,Automatic,11,15250
Bike,General,2,12299,Petrol,Manual,3,870
SUV,General,8,102355,Petrol,Manual,13,6870
Bike,General,3,24716,Petrol,Manual,4,850
Car,General,8,93581,Petrol,Automatic,12,6370
Bike,General,0,881,Petrol,Manual,0,520
Scooty,General,7,42134,Petrol,Automatic,13,650
Bike,Repair,8,43121,Petrol,Automatic,9,2270
SUV,Repair,12,175534,Petrol,Manual,22,37600
SUV,Repair,11,183357,Petrol,Manual,19,29810
Scooty,Major,3,15637,Petrol,Automatic,3,2290
Electric Scooter,General,2,9517,EV,Automatic,3,760
Car,General,9,135984,Diesel,Manual,12,6290
Car,Repair,2,30240,Petrol,Automatic,2,10190
Scooty,Major,10,65916,Petrol,Automatic,18,1700
Car,General,6,96185,Diesel,Automatic,11,5500
Bike,Major,3,29901,Petrol,Manual,4,2130
Car,General,5,72178,Diesel,Manual,9,6550
Bike,Major,4,22971,Petrol,Manual,5,2500
SUV,Repair,3,55624,Diesel,Manual,4,21350
